Year Published,Country,Age Range,Case Identification Method,Case Criterion,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Confidence Interval (CI),Male:Female Sex Ratio,Non-Hispanic White:Hispanic Prevalence Ratio,White:Black Prevalence Ratio,Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),IQ Score <70 (%),Adaptive Score <70 (%),Non-Verbal or Minimally Verbal (%),Percentage of Individual Co-occurring Conditions,Autism Types Included,CDC Calculated Values
2011,Denmark,5 to 10,registry,ICD-10,404816.0,2002.0,6.85,6.50 - 7.21,5.0,,,,,,,,,,"childhood autism, atypical autism, Asperger syndrome, other PDD, PDD-NOS",sex ratio
2011,Australia,5 to 10,registry,DSM-IV; DSM-IV-TR,152060.0,678.0,5.1,4.70 - 5.53,4.8,,,,,,,,,,"autistic disorder, Asperger syndrome, PDD-NOS (including atypical autism)",sex ratio
2011,Taiwan,0 to 17,other (government administrative data),receipt of autism-specific services; ICD-9,229454.0,659.0,2.9,2.66 - 3.10,,,,,,,,,,,"ASD (infantile autism, disintegrative psychosis, other specified early childhood psychoses, unspecified psychoses with origin specific to childhood)",sample size; CI
2011,USA,0 to 8,health records; service provider records,DSM-IV,80249.0,374.0,4.7,4.2 - 5.2,6.2,2.2,1.8,,,,,,,,ASD (not specified),none
2011,South Korea,7 to 12,survey (unspecified),"DSM-IV; autism test (ADOS, ADI-R); clinical interpretation",55266.0,201.0,26.4,19.1 - 33.7,3.4,,,,,,37.0,,,,"ASD (PDD, autistic disorder, Asperger syndrome, PDD-NOS, Rett syndrome, childhood disintegrative disorder)",sex ratio; IQ Score <70 (%)
2011,Brazil,7 to 12,health records; education records,"autism test (K-SADS, ADI-R); clinical interpretation",1470.0,4.0,2.72,1.76 - 3.68,,,,,,,,,,,"PDD (autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)",none
2011,England,≥ 16,survey (in-person),autism test (ADOS-4),7333.0,72.0,9.8,3.0 - 16.5,,,,,,,,,,,ASD (not specified),none
2011,Finland,8,survey (unspecified),"autism test (ADR-R, ADOS); clinical interpretation; DSM-IV-TR",4422.0,37.0,8.4,6.1 - 11.5,1.8,,,,,,35.0,,,,ASD (not specified),none
2012,USA,8,health records; education records,special education classification; ICD-9,33757.0,432.0,13.0,11.8 - 14.2,4.0,,,,,,,,,,ASD (not specified),none
2012,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,36472.0,252.0,6.9,6.1 - 7.8,3.7,2.6,1.3,,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)",none
2012,Denmark,15 to 24,survey (unspecified),"autism test (DISCO-11, ADOS); ICD-10; DSM-IV; other (Gillberg criteria); clinical interpretation",7128.0,67.0,9.4,7.3 - 11.9,2.7,,,,,,,,,,"childhood autism/autistic disorder, atypical autism/PDD-NOS, Asperger's disorder",none
2012,USA,8,health records; education records,DSM-IV-TR,337093.0,3820.0,11.3,11.0 - 11.7,,1.5,1.2,,,53,38.0,,,,"ASD (autistic disorder, PDD-NOS/aytpical autism, Asperger syndrome)",none
2012,Norway,0 to 11,registry,ICD-10,731318.0,2352.0,3.22,3.09 - 3.35,4.3,,,,,,,,,17.3 (ADHD); 11.2 (epilepsy),ASD (not specified),sex ratio; prevalence estimate; CI
2012,Iran,5,education records,autism test (ADI-R),1320000.0,826.0,0.63,0.58 - 0.67,4.0,,,,,,,,,,ASD (autistic disorder),CI
2012,Norway,6 to 12,education records; health records,"autism test (ADI-R, ADOS-G); clinical interpretation",31015.0,158.0,5.1,4.3 - 5.9,4.27,,,,,,,,,,"ASD (childhood autism, atypical autism, Asperger syndrome)",none
2012,Sweden,0 to 17,registry,ICD-9; ICD-10; DSM-IV; receipt of autism specific services,444154.0,5100.0,11.5,11.2 - 11.8,2.6,,,12-228,,96,43.0,,,,ASD (not specified),diagnosis median age and age range (years to months)
2012,Taiwan,6 to 11,registry,DSM-IV-TR; clinical interpretation,1538830.0,3893.0,2.53,2.45 - 2.61,6.6,,,,,,,,,,ASD (not specified),CI
2012,Sweden,2,health records,DSM-IV-TR,6220.0,40.0,6.4,4.6 - 8.7,4.0,,,,,,,,,,"ASD (autism, atypical autism)",none
2012,USA,8,health  records; education records,DSM-IV-TR; clinician interpretation,41647.0,504.0,15.0,13.4 - 16.8,,1.9,,,,,,,,,ASD (not specified),none
2012,USA,7 to 17,parental report,survey (phone),56728.0,,18.9,,,,,,,,,,,,"ASD (autism, Asperger syndrome, PDD, other autism spectrum disorder)",none
2013,Bahrain,2 to 27,health records,clinical interpretation,,,0.43,,4.0,,,,,,,,38.0,,ASD (not specified),none
2013,Taiwan,3 to 17,registry,DSM-IV; DSM-IV-TR; clinical interpretation,3917643.0,8671.0,2.21,2.17 - 2.26,,,,,,,,,,,ASD (not specified),CI
2013,Iceland,11 to 15,service provider records,"autism test (ADI-R, ADOS); clinical interpretation",22229.0,267.0,12.0,10.7 - 13.5,2.8,,,,,,45.0,,,7.1 (epilepsy),"ASD (childhood autism, Asperger syndrome)",IQ Score <70 (%)
2013,United Kingdom,8,health records,other (specialist reports from multidisiplinary diagnostic teams),256278.0,616.0,2.4,2.22 - 2.60,5.1,,,,,,,,,,ASD (not specified),number of cases; sample size; prevalence estimate; CI
2013,USA,6 to 17,survey (phone),parental report,65556.0,1393.0,20.0,,,,,,,,,,,,ASD (not specified),none
2014,USA,8,health records; education records,DSM-IV-TR,363749.0,5338.0,14.7,14.3 - 15.1,4.5,1.5,1.3,,,,31.0,,,,"ASD (autistic disorder, PDD-NOS/atypical autism, PDD-NOS, Asperger syndrome)",none
2014,China,1.5 to 3,survey (in-person),DSM-IV,8000.0,22.0,2.75,1.6 - 3.9,4.5,,,,,,,,72.7,,ASD (not specified),sex ratio; study years
2014,South Korea,7 to 12,survey (unspecified); registry,DSM-IV; DSM-5; clinical interpretation,,,22.0,17.7 - 26.4,,,,,,,,,,,ASD (not specified),study years
2014,Canada,2 to 14,health records; education records; service provider records,receipt of autism specific services,156569.0,1636.0,10.45,9.96 - 10.96,,,,13-143 (newfoundland & Labrador); 19-164 (Prince Edward Island); 18-172 (Southeastern Ontario),,41 (Newfoundland & Labrador); 55 (Prince Edward Island); 56 (SE Ontario),,,,,"autism (autistic disorder, Asperger syndrome)",sample size; number of cases; prevalence estimate; CI
2014,Uganda,2 to 9,survey (in-person),DSM-IV-TR,1169.0,8.0,12.0,,,,,,,,,,,,ASD (not specified),none
2014,United Kindgom,7,survey (unspecified),parental report,14043.0,209.0,17.0,14.0 - 20.0,5.0,,,,,,,,,19.9 (ADHD),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome)",none
2014,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,30570.0,533.0,17.4,15.9 - 18.9,5.0,2.66,2.66,9-102,,48,,,,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)",none
2015,USA,3 to 17,"survey (in-person, phone)",parental report,13000.0,,22.4,,,,,,,,,,,,ASD (autism),none
2015,Denmark,0 to 21,registry,ICD-8; ICD-10,1191012.0,13567.0,11.4,11.20 - 11.58,,,,,,,,,,,"ASD, childhood autism",prevalence estimate; CI; age range
2015,Finland,0 to 21,registry,ICD-9; ICD-10,1079796.0,8088.0,7.5,7.32 - 7.65,,,,,,,,,,,"ASD, childhood autism",prevalence estimate; CI; age range
2015,Sweden,0 to 19,registry,ICD-9; ICD-10,1797704.0,11887.0,6.6,6.49 - 6.73,,,,,,,,,,,"ASD, childhood autism",prevalence estimate; CI; age range
2015,Australia,0 to 20,medical records; service provider records,ICD-9; ICD-10; DSM-IV,465724.0,2321.0,5.0,4.79 - 5.19,,,,,,,,,,,"ASD, childhood autism",prevalence estimate; CI; age range
2015,France,8,registry,ICD-10,,500.0,3.6,3.3 - 3.9,4.2,,,,,,51.2,,,,ASD (not specified),none
2015,Sweden,0 to 27,registry,DSM-IV; ICD-9; ICD-10; receipt of autism-specific services,735096.0,11330.0,15.4,15.1 - 15. 7,2.4,,,,,,25.6,,,,ASD (not specified),sex ratio; IQ score
2015,Sweden,,registry,ICD-9; ICD-10,1078975.0,4620.0,4.2,4.16 - 4.41,,,,,,,,,,,ASD (not specified),CI
2015,Canada,4,health records,DSM-IV-TR; clinical interpretation,2668.0,58.0,21.6,16.85 - 28.0,,,,,,,,,,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)",CI
2015,China,6 to 11,survey (mail),"autism test (ADOS, ADI-R); clinical interpretation",737.0,6.0,11.9,5.3 - 26.5,,,,,,,,,,,autism spectrum conditions (ASC),none
2015,France,7,registry,clinical interpretation,307751.0,1123.0,3.65,3.44 - 3.87,4.1,,,,,,47.0,,,4.7 (epilepsy); 0.8 (fragile X); <0.5 (tuberous sclerosis),"childhood autism, Asperger syndrome, and other ASDs (excluding Rett syndrome)",none
2015,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,,752.0,15.5,,4.6,1.7,1.3,,,,35.7,,,,ASD (not specified),none
2015,Ecuador,5 to 15,survey (in-person),DSM-III; DSM-IV-TR; clinical interpretation,51453.0,57.0,1.1,0.86 - 1.43,4.7,,,,,,,,,,"ASD (classical autism, Aperger syndrome, PDD-NOS, childhood disintergrative disorder, Rett syndrome)",CI
2015,USA,,registry ;other (government administrative data); education records,clinical interpretation,113364.0,493.0,4.3,4.0 - 4.8,,,,,,,,,,,ASD (not specified),none
2015,Iran,2 to 5,survey (in-person; online),"autism test (ADI-R, ADOS)",2941.0,28.0,9.52,6.6 - 13.7,,,,,,,,,,,ASD (not specified),none
2016,Nigeria,0 to 3,survey (in-person),ICD-10,3011.0,4.0,1.33,0.52 - 3.41,,,,,,,,,,,autism spectrum disorder trait,CI
2016,Ireland,6 to 11,survey (mail),DSM-IV-TR; clinical interpretation,5589.0,63.0,10.0,8.8 - 14.4,,,,,,,,,,,"autism, Asperger syndrome, Rett syndrone, childhood disintegrative disorder, PDD-NOS",CI
2016,Australia,0 to 27,registry; service provider records,DSM (not specified),,2307.0,4.1,,4.1,,,,,,70.7,,,,ASD (not specified),age range
2016,Lebanon,1.3 to 4,survey (in-person),other (child fails 3 or more items in M-CHAT questionnaire),998.0,263.0,15.3,7.7 - 22.9,1.2,,,,,,,,,,ASD (not specified),none
2016,USA,4,education records; health records,DSM-IV-TR; clinical interpretation,58467.0,783.0,13.4,12.5 - 14.4,3.5,0.9,1.2,,,32,46.0,,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",none
2016,Nigeria,3 to 18,survey (in-person),DSM-IV-TR,721.0,21.0,29.0,19.12 - 44.12,1.1,,,,,,,,,,ASD (not specified),CI
2016,Mexico,8,"education records; health records; service provider records; survey (mail, in-person)",DSM-IV-TR,12200.0,36.0,8.7,6.2 - 11.0,4.1,,,,,,31.0,,36.0,19.4  (epilepsy); 2.8 (Down syndrome); 2.8 (Rett syndrome); 2.8 (fragile X) ; 44.4 (emotional problems),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",IQ Score <70 (%)
2016,Australia,6 to 7,other (parent interview as part of on-going cohort study),parental report,4239.0,107.0,25.0,20.0 - 30.0,,,,,,,,,,,"autism, Asperger syndrome, other autism spectrum",none
2016,India,1 to 30,survey (in-person),DSM-IV-TR,18480.0,43.0,2.33,1.73 - 3.13,2.1,,,,,,,,,,ASD (not specified),CI
2016,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,346038.0,5063.0,14.6,14.2 - 15.0,4.5,1.5,1.2,,,50,32.0,,,,"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)",none
2017,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,929182.0,11058.0,11.9,11.7 - 12.1,4.7,1.65,1.19,,,,26.43,,,,ASD (not specified),sex ratio; IQ score; non-Hispanic White:Hispanic and White:Black ratio
2017,Australia,10 to 11,other (parent interview as part of on-going cohort study),parental report,3764.0,145.0,39.0,32.0 - 45.0,,,,,67.4,,,,,,"ASD (autism, Asperger syndrome, other autism spectrum)",none
2017,India,1 to 10,survey (in-person),clinical interpretation,28070.0,43.0,1.5,1.5 - 2.5,,,,,,,,,,,ASD (not specified),none
2017,India,3 to 8,"survey (phone, in-person)",ADOS; clinical interpretation,11849.0,6.0,2.3,0.7 - 4.6,,,,,,,,,,,"ASD (autism, broader autism spectrum)",none
2017,Poland,0 to 16,other (government administrative data),"clinical interpretation; autism test (ADOS-2, ADI-R)",707975.0,2464.0,3.5,3.35 - 3.62,4.3,,,,,,,,,,"ASD (autism, atypical autism, Rett syndrome, children disintegrative disorder, hyperkinetic disorder accompied mental retardation and stereotyped movements, Asperger syndrome, PDD, PDD-NOS)",CI
2017,USA,4,health records; education records,DSM-IV-TR; clinical interpretation,58467.0,465.0,8.0,7.2 - 8;7,3.9,2.2,3.1,,,32,48.7,,,,ASD (not specified),number of cases
2017,USA,2 to 17,survey (phone),parental report,85248.0,1604.0,18.0,17.93 - 19.75,4.3,7.76,9.23,,,,22.3,,,8.6 (epilepsy),ASD (not specified),CI
2017,Sweden,0 to 17,service provider records,ICD-9; ICD-10; DSM-IV,480728.0,10025.0,21.0,20.45 - 21.26,2.4,,,,,,23.6,,,,ASD (not specified),CI
2017,USA,3 to 17,survey (in-person),parental report,,,24.7,22.3 - 27.2,,1.52,1.11,,,,,,,,ASD (not specified),none
2018,USA,3 to 17,"survey (online, mail)",parental report,43021.0,1131.0,25.0,22.3 - 28.1,4.2,1.1,0.9,,,,,,,,ASD (autism),White:Hispanic and White:black prevalence ratio
2018,India,6 to 9,survey (in-person),clinical interpretation,3964.0,44.0,14.0,6.0 - 32.0,,,,,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)",none
2018,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,325483.0,5473.0,16.8,16.4 - 17.3,4.0,1.2,1.1,,,52,31.0,,,,"ASD (autistic disorder, PDD-NOS/atypical autism, Asperger syndrome)",none
2018,USA,3 to 17,"survey (in-person, phone)",parental report,30502.0,711.0,24.7,22.0 - 27.3,3.3,1.5,1.1,,,,,,,,ASD (not specified),none
2018,Nepal,9 to 13,survey (in-person),other (AQ-10 score ≥ 6),4098.0,14.0,3.0,2.00 - 5.00,1.3,,,,,,,,,,autism,prevalence estimate; CI
2018,Scotland,0 to 25,other (census data),self-report,3746584.0,6649.0,1.77,1.73 - 1.82,2.3,,,,,,29.0,,,31.8 (mental health conditions),"ASD, Asperger syndrome",prevalence estimate; CI
2018,Germany,0 to 24,other (health insurance records),ICD-10,6400000.0,21186.0,3.8,,,,,,,,,,,,ASD (not specified),CI
2018,Canada,1 to 17,other (government administrative data),ICD-9; ICD-10,1464600.0,16940.0,12.2,,,,,,,,,,,8.4 (epilepsy); 42 (ADHD); 34.2 (anxio-depressive disorders),"ASD (autistic disorder, childhood disintergrative disorder, PDD, PDD-NOS, Rett syndrome)",none
2018,USA,5,service provider records,receipt of autism specific services,,,11.8,,,,,,,,,,,,autism disorder,none
2018,Italy,7 to 9,education records; health records; survey (unspecified),"clinical interpretation; autism test (ADI-R, ADOS-2)",10138.0,81.0,7.9,6.2 - 9.7,5.2,,,,,,,,52.0,,ASD (not specified),none
2018,China,3 to 12,survey (unspecified),DSM-5; clinical interpretation,74252.0,203.0,0.758,0.687 - 0.829,3.6,,,,,,93.0,,,,ASD (not specified),none
2018,Bangladesh,1.5 to 3,survey (in-person),DSM-IV-TR; autism test (ADOS); clinical interpretation,5286.0,4.0,0.75,0.29 - 1.94,3.0,,,,,,,,,,ASD (not specified),CI
2018,Spain,3 to 5,survey (unspecified),"autism test (ADI-R, ADOS-2); clinical interpretation",1358.0,21.0,15.5,8.9 - 22.0,4.3,,,,,,,,,25 (language delay),ASD (not specified),none
2019,China,6 to 10,survey (mail); other (government administrative data),"clinical interpretation; DSM-IV-TR; DSM-5; autism test (ADI-R, ADOS)",7349.0,77.0,10.8,8.7 - 13.5,,,,,,,,,,,autism,sample size; number of cases
2019,USA,3 to 17,survey (online),parental report,43031.0,1229.0,27.9,24.6 - 31.2,4.3,1.1,0.8,,,,,,,,ASD (not specified),none
2019,USA,8,health records; education records,DSM-IV-TR; clinical interpretation,152259.0,1913.0,12.6,12.1 - 13.2,,1.51,1.53,,,,,,,,"autistic disorder, PDD-NOS including atypical autism or Asperger syndrome",none
2019,USA,3 to 17,survey (in-person),parental report,88530.0,1550.0,17.4,16.67 - 18.39,2.3,1.1,1.3,,,,,,,,"ASD (autism, Asperger syndrome, PDD)",sex ratio; White:Hispanic and White:Black prevalence ratio
2019,USA,4,education records; health records,DSM-IV-TR; clinical interpretation,70887.0,1208.0,17.0,16.1 - 18.0,4.1,,,,,,46.0,,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",none
2019,Oman,0 to 14,health records,DSM-5; clinical interpretation,837655.0,1705.0,2.04,1.94 - 2.13,3.6,,,,,,,,,,ASD (not specified),none
2019,Qatar,6 to 11,"service provider records; education records; survey (mail, phone)","autism test (ADOS-2, ADI-R); clinical interpretation; DSM-5",142855.0,844.0,11.4,8.9 - 14.6,4.3,,,,42.8,,,,19.0,5.1 (prematurity); 30.2 (ADHD); 11 (anxiety); 82.1 (learning disability); 91.4 (language delay),ASD (not specified),sample size
2019,Taiwan,7 to 14,survey (in-person),DSM-5; autism test ( K-SADS-E in Mandarin); clinical interpretation,4816.0,52.0,10.0,6.0 - 15.0,,,,,,,,,,,ASD (not specified),none
2019,Vietnam,1.5 to 2.5,survey (in-person),DSM-IV; clinical interpretation,17277.0,130.0,7.52,6.29 - 8.93,4.7,,,,,,,,,,ASD (not specified),age range (months to years)
2019,Iran,6 to 18,survey (in-person),other (Kiddie Schedule for Affective Disorders and Schizophrenia for School-Age Present and Lifetime (K-SADS-PL-2009) diagnostic tool),29737.0,37.0,1.8,1.20 - 2.40,2.0,,,,,,70.0,,,2.7 (depressive disorders); 27 (anxiety disorders); 21.6 (ADHD); 29.7 (epilepsy),ASD (not specified),none
2019,Spain,2 to 17,registry,ICD-9,1326666.0,15466.0,12.3,12.1 - 12.5,4.5,,,,105.6,96,,,,,"autistic disorder, childhood disintegrative disorder, other specified pervasive development disorder, PDD-NOS",none
2019,USA,18 to 64,other (government administrative data),ICD-9-CM,8127049.0,29745.0,3.66,3.62 - 3.70,2.8,3.4,1.6,,,,,,,,autism,sample size; CI; White:Hispanic and White:Black prevalence ratio
2019,Canada,1 to 5,health records,ICD-9; ICD-10,59438.0,578.0,9.7,8.97 - 10.55,,,,,39.6,,,,,,ASD (not specified),CI
2020,USA,8,education records; health records,DSM-IV-TR; DSM-5; clinical interpretation,275419.0,5108.0,18.5,18.0 - 19.1,4.3,1.2,1.0,,,51,33.0,,,,ASD (not specified),none
2020,USA,4,education records; health records,DSM-5; clinical interpretation,72277.0,1125.0,15.6,14.7 - 16.5,3.5,0.7,0.9,,,33,53.0,,,,ASD (not specified),none
2020,South Korea,,other (government administrative data),ICD-10,51529338.0,5663.0,0.11,0.107 - 0.112,5.1,,,,,,,,,,ASD (not specified),CI
2020,Japan,5,survey (mail),clinical interpretation; DSM-5,5016.0,87.0,32.2,26.6 - 3.76,2.2,,,,,,37.0,,,50.57 (ADHD),ASD (not specified),none
2020,USA,3 to 17,"survey (in-person, phone)",parental report,33775.0,856.0,25.0,22.0 - 27.0,,,,,,,,,,,ASD (not specified),none
2020,"Basque Country, Spain",7 to 9,survey (unspecified); service provider records,"autism test (ADOS-G, ADOS-2, ADI-R); clinical interpretation",14734.0,87.0,5.9,4.8 - 7.3,6.2,,,,,,50.0,,,,ASD (not specified),none
2020,Australia,12 to 13,survey (in-person),parental report,3300.0,145.0,43.6,35.6 - 51.9,,,,,73.44,,,,,,"ASD (autism, Asperger syndrome, other autism spectrum)",none
2020,Japan,6 to 9,survey (in-person),parental report,2085.0,40.0,19.0,13.0 - 25.0,,,,,,,,,,,ASD (not specified),number of cases
2020,Greece,10 to 11,service provider records,special education classification,182879.0,2108.0,11.5,11.4 - 11.7,4.14,,,,6.0,,,,,,"ASD, autism, PDD",none
2020,China,6 to 12,registry,"DSM-5; autism test (ADI-R, ADOS)",125806.0,363.0,7.0,6.4 - 7.4,4.3,,,,,,64.0,,,43.1 (ADHD); 6.4 (OCD); 5.7 (epilepsy),ASD (not specified),none
2020,USA,6,service provider records,receipt of autism specific services,,,15.0,,,1.2,0.8,,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)",White:Hispanic and White:Black prevalence ratio
